Date,AI Tool,Model/Version,Task Description,Prompt Summary,Output Summary,How Used,Student Contribution
2026-02-22,Claude,claude-sonnet-4-6,Learn assignment requirements,Shared full assignment brief and asked Claude to learn the requirements,Summarized all 4 parts + deliverables + rubric weights and key technical requirements,Reference and orientation,Reviewed and confirmed understanding of requirements
2026-02-22,Claude,claude-sonnet-4-6,AI Usage Log format guidance,Asked best way to create an AI Usage Log for the assignment,Suggested fields to track per entry and format options (CSV / Sheets / Markdown),Used as basis for this log structure,Decided on CSV format and adapted fields
2026-02-22,Claude,claude-sonnet-4-6,Project folder structure,Asked for recommended folder structure based on assignment deliverables,Proposed two versions of folder structure (standard then notebook-centric),Adopted the simplified notebook-centric structure,Adjusted structure to match personal workflow preference
2026-02-22,Claude,claude-sonnet-4-6,Create AI Usage Log,Asked Claude to build a basic AI usage log CSV file,Generated this CSV with headers and pre-populated session entries,Directly used as the log file,Will update manually as work progresses
2026-02-22,ChatGPT,GPT-5.2 Thinking,Understand requirements and platform feasibility,Asked ChatGPT to understand assignment requirements and suggest which implementations can be done on MacBook Air and Google Colab,Identified which parallel strategies are feasible on each platform given hardware constraints,Used as reference to narrow down implementation choices,Made final decision on which implementations to pursue based on available hardware
2026-02-22,ChatGPT,GPT-5.2 Thinking,Suggest parallel implementation approaches for Google Colab,Asked ChatGPT to suggest ways to implement any 2 parallel strategies plus sequential sieve exclusively on Google Colab,Suggested parallel approaches runnable in Colab environment with code structure guidance,Used as reference for implementation planning,Will evaluate suggestions and implement independently in notebooks
2026-02-22,Claude,claude-sonnet-4-6,Create LaTeX documentation files,Asked Claude to create TeX files for the report and memo under the docs folder,Generated report.tex (full report template with PCAM tables + benchmark placeholders) and memo.tex (2-page reflective memo template) and references.bib,Used as document skeletons to be filled in as work progresses,Will write all content independently
2026-02-22,Claude,claude-sonnet-4-6,Update documentation with student and course info,Asked Claude to update name + university + course + program + instructor across all doc files,Updated report.tex title page and memo.tex header with correct institutional details,Directly applied,Verified accuracy of all updated fields
2026-02-22,Claude,claude-sonnet-4-6,Fix LaTeX compilation errors,Shared pdflatex error logs; Claude diagnosed missing packages (multirow.sty + ieee biblatex style + titling.sty),Removed unused multirow and titling packages; switched biblatex style from ieee to numeric; fixed fancyhdr headheight warnings,Applied all fixes directly to tex files,Verified fixes by recompiling successfully
2026-02-22,Claude,claude-sonnet-4-6,Restructure docs folder and build command,Asked Claude to separate tex/bib/support files from generated PDFs into two subfolders,Created docs/src/ for tex+bib+aux files and docs/pdf/ for output PDFs; moved files accordingly; provided build command,Adopted folder structure and build command as-is,Will use the command as standard workflow going forward
2026-02-22,Claude,claude-sonnet-4-6,Build Jupyter notebook structure for Google Colab,Provided detailed section-by-section specification (Sections 0-13) and asked Claude to build the basic notebook skeleton,Generated imc05_sieve_parallel.ipynb with 29 cells covering: title + scope + environment setup + PCAM table + benchmark config + shared utilities + serial C++ skeleton (%%writefile) + OpenMP C++ skeleton + Numba GPU kernel stub + correctness validation + benchmark runner + 6-panel plot scaffold + crypto extension (Sophie Germain + safe primes) + reflective memo draft + export artifacts,Used as notebook scaffold; all TODO sections and implementations to be completed independently,Will implement all C++ sieve logic + Numba GPU kernel + benchmark runner + plots independently
2026-02-22,ChatGPT,GPT-5.2 Thinking,Structure Google Colab notebook to accommodate all implementations,Asked how to structure Google Colab to accommodate all implementations and requested basic structuring for Google Colab / Jupyter notebook,Suggested notebook layout to organize serial + parallel implementations with sections for environment setup + implementations + benchmarking,Used as reference for notebook organization,Compared with Claude-generated structure and made final structural decisions independently
2026-02-22,ChatGPT,GPT-5.2 Thinking,Basic structure for C++ OpenMP and serial implementations with Colab execution guidance,Asked ChatGPT to build basic structure for C++ OpenMP shared memory and C++ serial sieve implementations and suggest how to execute them on Google Colab,Provided C++ code skeletons for serial and OpenMP sieve and suggested using %%writefile + shell compilation cells in Colab to compile and run C++ code,Used as reference for implementation structure and Colab execution approach,Will implement the full sieve logic independently; adopted %%writefile + %%bash pattern for Colab execution
2026-02-22,ChatGPT,GPT-5.2 Thinking,Understand PCAM and explain segmentation code through PCAM lens,Provided implementation details and asked ChatGPT to explain PCAM (Partitioning + Communication + Agglomeration + Mapping) in context and explain segmentation code based on PCAM,Explained each PCAM phase as applied to the segmented sieve and mapped PCAM concepts to specific parts of the segmentation code,Used to deepen conceptual understanding of PCAM before writing the report section,Applied understanding independently to write PCAM comments in code and PCAM table in report
2026-02-22,ChatGPT,GPT-5.2 Thinking,Add progress print statements to C++ programs for presentation,Asked ChatGPT to add print statements at regular intervals to the serial and OpenMP C++ programs for presentation purposes,Added progress/status print statements throughout the sieve implementations to show execution progress during demo runs,Applied to presentation copies of the code,Reviewed and kept only relevant print statements; ensured timing measurements exclude print overhead
2026-02-23,ChatGPT,GPT-5.2 Thinking,Understand the cryptographic primality extension problem and get learning resources,Asked ChatGPT to explain the problem (not the solution) behind Option A — Sophie Germain primes + safe primes + RSA-modulus factorizability checking + sieve vs Miller-Rabin comparison + GPU acceleration value; also requested useful learning resources,Explained the mathematical and cryptographic significance of Sophie Germain primes + safe primes + RSA factorizability; clarified when sieve-based vs Miller-Rabin approaches are appropriate; explained what GPU acceleration offers for each workload; provided references and learning resources,Used for conceptual understanding before implementing Part 3 extension,Will use understanding to independently implement and write up the crypto extension; resources will inform the reflection in the report
