impl,N,threads,trial,time_sec,count,scaling,implementation
serial,1000000,1,0,0.005664,78498,,serial
serial,1000000,1,1,0.005609,78498,,serial
serial,1000000,1,2,0.005541,78498,,serial
serial,10000000,1,0,0.057684,664579,,serial
serial,10000000,1,1,0.05851,664579,,serial
serial,10000000,1,2,0.05817,664579,,serial
serial,50000000,1,0,0.315986,3001134,,serial
serial,50000000,1,1,0.334695,3001134,,serial
serial,50000000,1,2,0.519074,3001134,,serial
serial,100000000,1,0,1.284853,5761455,,serial
serial,100000000,1,1,0.992256,5761455,,serial
serial,100000000,1,2,0.76819,5761455,,serial
openmp,1000000,1,0,0.003517,78498,,openmp
openmp,1000000,1,1,0.003548,78498,,openmp
openmp,1000000,1,2,0.003622,78498,,openmp
openmp,1000000,2,0,0.004526,78498,,openmp
openmp,1000000,2,1,0.004622,78498,,openmp
openmp,1000000,2,2,0.004622,78498,,openmp
openmp,1000000,4,0,0.00368,78498,,openmp
openmp,1000000,4,1,0.003632,78498,,openmp
openmp,1000000,4,2,0.003435,78498,,openmp
openmp,10000000,1,0,0.031701,664579,,openmp
openmp,10000000,1,1,0.042271,664579,,openmp
openmp,10000000,1,2,0.031545,664579,,openmp
openmp,10000000,2,0,0.028906,664579,,openmp
openmp,10000000,2,1,0.030503,664579,,openmp
openmp,10000000,2,2,0.02843,664579,,openmp
openmp,10000000,4,0,0.028203,664579,,openmp
openmp,10000000,4,1,0.028591,664579,,openmp
openmp,10000000,4,2,0.028296,664579,,openmp
openmp,50000000,1,0,0.166865,3001134,,openmp
openmp,50000000,1,1,0.159888,3001134,,openmp
openmp,50000000,1,2,0.162044,3001134,,openmp
openmp,50000000,2,0,0.144255,3001134,,openmp
openmp,50000000,2,1,0.154399,3001134,,openmp
openmp,50000000,2,2,0.144283,3001134,,openmp
openmp,50000000,4,0,0.143865,3001134,,openmp
openmp,50000000,4,1,0.144427,3001134,,openmp
openmp,50000000,4,2,0.145287,3001134,,openmp
openmp,100000000,1,0,0.344836,5761455,,openmp
openmp,100000000,1,1,0.328289,5761455,,openmp
openmp,100000000,1,2,0.323656,5761455,,openmp
openmp,100000000,2,0,0.301986,5761455,,openmp
openmp,100000000,2,1,0.307101,5761455,,openmp
openmp,100000000,2,2,0.291875,5761455,,openmp
openmp,100000000,4,0,0.292837,5761455,,openmp
openmp,100000000,4,1,0.299935,5761455,,openmp
openmp,100000000,4,2,0.293447,5761455,,openmp
openmp_strong,100000000,1,0,0.320256,5761455,strong,openmp_strong
openmp_strong,100000000,1,1,0.32247,5761455,strong,openmp_strong
openmp_strong,100000000,1,2,0.337129,5761455,strong,openmp_strong
openmp_strong,100000000,2,0,0.306778,5761455,strong,openmp_strong
openmp_strong,100000000,2,1,0.290062,5761455,strong,openmp_strong
openmp_strong,100000000,2,2,0.30148,5761455,strong,openmp_strong
openmp_strong,100000000,4,0,0.299255,5761455,strong,openmp_strong
openmp_strong,100000000,4,1,0.289348,5761455,strong,openmp_strong
openmp_strong,100000000,4,2,0.28921,5761455,strong,openmp_strong
openmp_weak,10000000,1,0,0.042504,664579,weak,openmp_weak
openmp_weak,10000000,1,1,0.031316,664579,weak,openmp_weak
openmp_weak,10000000,1,2,0.0315,664579,weak,openmp_weak
openmp_weak,20000000,2,0,0.057145,1270607,weak,openmp_weak
openmp_weak,20000000,2,1,0.059727,1270607,weak,openmp_weak
openmp_weak,20000000,2,2,0.057033,1270607,weak,openmp_weak
openmp_weak,40000000,4,0,0.114794,2433654,weak,openmp_weak
openmp_weak,40000000,4,1,0.115151,2433654,weak,openmp_weak
openmp_weak,40000000,4,2,0.115355,2433654,weak,openmp_weak
gpu,1000000,1,0,0.010101816999849689,78498,,gpu
gpu,1000000,1,1,0.009356307999951241,78498,,gpu
gpu,1000000,1,2,0.007816182999704324,78498,,gpu
gpu,10000000,1,0,0.034835452000152145,664579,,gpu
gpu,10000000,1,1,0.029683171999749902,664579,,gpu
gpu,10000000,1,2,0.027774870000030205,664579,,gpu
gpu,50000000,1,0,0.11772269999983109,3001134,,gpu
gpu,50000000,1,1,0.11781631699977879,3001134,,gpu
gpu,50000000,1,2,0.11626842500027124,3001134,,gpu
gpu,100000000,1,0,0.23718469199957326,5761455,,gpu
gpu,100000000,1,1,0.23592138899948623,5761455,,gpu
gpu,100000000,1,2,0.23034014299992123,5761455,,gpu
